CZ.Name,State,Racial.Segregation,Income.Segregation,Household.Income.per.capita,Local.Tax.Rate,Local.Government.Expenditures.Per.Capita,Labor.Force.Participation.Rate,Social.Capital.Index,Fraction.Religious
Cleveland,TN,0.0746073,0.0356632,30498.56,0.0166462,2213.473,0.611321,-0.64316472,0.6272104
Rome,GA,0.181216,0.033903,31876.89,0.0246539,2609.598,0.63419,-1.6828302,0.5244654
Tampa,FL,0.2317798,0.0802947,42194.87,0.0216414,2379.856,0.5921527,-1.0401171,0.3786031
Lakeland,FL,0.1712883,0.0534333,36101.73,0.0163567,2264.725,0.5555338,-1.7296807,0.4220297
Sarasota,FL,0.2138762,0.0670332,52946.79,0.0184313,2477.75,0.5041241,-0.53302715,0.4032456
Miami,FL,0.330481,0.1052385,38110.36,0.0274785,3154.639,0.597902,-2.1414285,0.4197457
Port St. Lucie,FL,0.2479631,0.1024742,55175.25,0.0268987,2839.394,0.5489249,-1.4330216,0.5158997
Cape Coral,FL,0.2634515,0.0784028,55874.96,0.0246571,3061.406,0.5313566,-1.240414,0.3771865
Palm Bay,FL,0.143526,0.0705573,45263.89,0.0199416,2411.98,0.5610914,-0.79930828,0.4139588
Orlando,FL,0.1811229,0.0829128,38369.94,0.0264076,2579.061,0.6461213,-1.7556758,0.3795092
Deltona,FL,0.1955437,0.0484383,38458.95,0.0254464,2775.305,0.5407081,-1.3901051,0.3735358
Jacksonville,FL,0.2227334,0.0880861,38502.16,0.0209265,3180.138,0.6667396,-1.4407076,0.4268222
Lake City,FL,0.1176934,0.0142915,25561.31,0.0197449,2370.31,0.5240371,-1.7738245,0.4113431
Ocala,FL,0.1577735,0.0258673,38730.55,0.0172009,1968.815,0.4693877,-1.8314371,0.3496596
Gainesville,FL,0.1373239,0.1009689,28320.61,0.0204614,2672.017,0.5853512,-1.4940711,0.3535208
Sumter,SC,0.133779,0.0521532,29459.13,0.0155372,1517.52,0.6074238,-1.853765,0.4161466
Columbia,SC,0.2151059,0.0875351,34438.09,0.0175608,2148.133,0.6583559,-0.92498754,0.4454176
Barnwell,SC,0.0836573,0.0112802,25543.54,0.0194392,1582.822,0.5255937,-1.6793021,0.4428389
Charleston,SC,0.1568738,0.0815968,34600.54,0.0204753,1796.413,0.6390142,-2.1111986,0.3958474
Greenville,SC,0.1761965,0.0659862,35224.83,0.0139532,1579.557,0.6411304,-1.1079467,0.5582612
Aiken,GA,0.1649667,0.0895191,33294.11,0.0198237,1911.106,0.6226506,-1.3730812,0.4319986
Washington,GA,0.0213827,0.0189149,35154.56,0.0205301,2174.253,0.5514991,-0.77276253,0.4364266
Fitzgerald,GA,0.0820122,0.0160071,27671.02,0.019311,2990.52,0.586566,-1.6488639,0.5326646
Cordele,GA,0.047384,0.0102511,26102.8,0.0243451,2474.377,0.5398589,-1.6044506,0.4833009
Valdosta,GA,0.168887,0.0495914,27877.83,0.020088,2160.575,0.6223087,-1.9306962,0.4812156
Waycross,GA,0.1131877,0.029115,26638.61,0.0199344,2426.453,0.573743,-2.1025852,0.5022542
Brunswick,GA,0.2114739,0.07637,36807.36,0.0272389,2469.194,0.6297429,-1.6553398,0.4633077
Hinesville,GA,0.0762284,0.0196923,23377.99,0.0219816,1453.888,0.6180904,-3.1989926,0.3552358
Statesboro,GA,0.0553738,0.0434177,26438.81,0.0190057,2079.772,0.58571,-2.2435024,0.4035439
Savannah,GA,0.243207,0.0987008,39851.36,0.0281454,2223.651,0.6284901,-1.7031987,0.4069671
Macon,GA,0.1934302,0.0906247,33835.64,0.019706,2499.876,0.6217625,-1.0702973,0.4434849
Vidalia,GA,0.0798559,0.0095247,26103.74,0.0221066,1836.796,0.5587672,-1.6489336,0.5876169
Milledgeville,GA,0.1219871,0.0339348,27862.41,0.0252586,2058.748,0.5234662,-1.9085844,0.2765011
Dublin,GA,0.1116823,0.0397581,29574.87,0.0207221,1910.928,0.5690293,-1.1503262,0.5013269
Atlanta,GA,0.3165451,0.1125313,44161.72,0.027579,2884.702,0.7091578,-1.2080198,0.4427466
Griffin,GA,0.1317338,0.0390527,30887.58,0.019729,1694.759,0.6005229,-1.4599294,0.5329446
Winder,GA,0.1660594,0.0885969,30684.81,0.0257548,2155.105,0.6643721,-1.440353,0.3518422
Toccoa,GA,0.0882064,0.0124161,29484.41,0.0194853,1784.989,0.6023043,-1.0015558,0.6303179
Gainesville,GA,0.1996357,0.0298511,33365.47,0.0218302,1620.37,0.646148,-1.5447534,0.4393055
Talladega,AL,0.1158112,0.0178536,29631.04,0.0113239,1781.119,0.5525004,-1.4439875,0.5278917
LaGrange,GA,0.1539657,0.061712500000000003,32719.94,0.0168205,1864.342,0.6207002,-1.4612525,0.5204385
Columbus,GA,0.2346356,0.1083153,31244.75,0.0180437,1549.937,0.6350322,-2.0782984,0.4497886
Americus,GA,0.0737225,0.0139043,27083.44,0.0204767,1975.71,0.5746075,-1.5821823,0.3897396
Auburn,AL,0.2766187,0.104949,27283.36,0.0141458,2966.739,0.5807051,-2.1303204,0.3109117
Tallahassee,FL,0.1622434,0.1220295,30838.16,0.0185079,3203.655,0.6210454,-0.95994038,0.372652
Panama City,FL,0.1316176,0.0459258,32714.85,0.0219149,3106.927,0.5932989,-2.0444837,0.4110749
Bainbridge,GA,0.081653,0.0155476,29033.66,0.0190306,1876.229,0.5765438,-2.1094003,0.4813603
Thomasville,GA,0.0982313,0.0200287,29591.39,0.0181214,2160.314,0.5959775,-1.7502473,0.5380144
Albany,GA,0.2424386,0.0912544,30170.39,0.0230106,2728.485,0.5968862,-1.2236323,0.398344
Eufaula,GA,0.040798,0.0196611,25283.51,0.0179438,1930.548,0.4965335,-1.4482026,0.4157962
Dothan,AL,0.1423923,0.0499653,32267.8,0.0112736,2187.233,0.6078667,-1.4002219,0.6318374
Meridian,MS,0.2159236,0.0525407,29016.2,0.0137252,1496.201,0.5772298,-0.38628795,0.6419273
Columbus,MS,0.1335201,0.0463009,29114.52,0.0115733,2064.528,0.5760617,-0.96563707,0.5235741
Starkville,MS,0.0770376,0.015068,26131.43,0.0120314,1979.18,0.5830976,-0.42722813,0.544708
Jasper,AL,0.1227738,0.0128747,28444.61,0.00978,1311.662,0.551458,-0.79674159,0.6112962
Birmingham,AL,0.4199312,0.1078153,38196.07,0.0201015,1864.47,0.6235606,-0.39247219,0.5796016
Tuscaloosa,AL,0.2715116,0.0875914,30158.42,0.0133744,1978.672,0.5711049,-1.1244627,0.4750414
Demopolis,AL,0.1134237,0.0260609,27364.34,0.0102367,1603.509,0.4967187,-0.73122918,0.4055477
Pensacola,FL,0.1376917,0.0606249,34256.17,0.01588,1995.327,0.6134403,-1.2160379,0.4439023
Mobile,AL,0.3169352,0.0767924,33321.26,0.0176551,1804.579,0.5872476,-0.98436417,0.5148205
Atmore,AL,0.1337755,0.0218889,27014.97,0.0097054,1418.738,0.5280119,-1.1858233,0.5081519
Montgomery,AL,0.2645651,0.1017572,33533.47,0.0153422,1662.867,0.6047082,-0.71283374,0.4968159
Troy,AL,0.1288224,0.0160032,28445.04,0.0102356,2188.063,0.5718287,-1.275069,0.6058887
Bluefield,VA,0.1323127,0.0183968,27293.57,0.0174636,1709.23,0.5088405,-0.43403487,0.3898683
Welch,WV,0.2316198,0.0191379,22243.97,0.0121275,1210.719,0.3641079,-1.4954013,0.2768068
Big Stone Gap,VA,0.068318,0.0114586,25086.34,0.0247141,1691.154,0.4766287,-0.66217605,0.4170406
